seed,version,chunk_x,chunk_z,block_hash,coal,iron,wood,plants
0,7,2,2,11496609311750556779,70,25,0,0
0,7,-3,2,14818961141384696703,59,21,0,2
0,7,2,-3,15308014551371333770,69,26,0,0
0,7,-3,-3,9018490261065414399,66,32,0,0
1,7,2,2,16097441968465162522,19,24,0,0
1,7,-3,2,278361024714014546,21,14,0,0
1,7,2,-3,7041103314283225398,23,22,0,0
1,7,-3,-3,7739898326253761629,44,26,0,0
42,7,2,2,4268512248463155960,62,25,0,0
42,7,-3,2,11124430903036593455,59,21,0,0
42,7,2,-3,16229275230911575520,56,33,0,0
42,7,-3,-3,6479534621746495161,65,26,0,0
424,7,2,2,3890508149744064197,54,18,6,3
424,7,-3,2,1033793250934688703,52,19,18,6
424,7,2,-3,14177634773300028698,57,30,9,0
424,7,-3,-3,14210972361829557975,75,21,13,1
20260807,7,2,2,7657314277591381641,45,18,0,0
20260807,7,-3,2,6980471953464714274,18,16,0,0
20260807,7,2,-3,7882456864700346698,37,20,0,0
20260807,7,-3,-3,12753697380142254669,28,12,0,0
20260809,7,2,2,6931539949625489311,43,19,0,0
20260809,7,-3,2,16794272530004684243,39,11,0,0
20260809,7,2,-3,12151182345367980762,28,22,0,0
20260809,7,-3,-3,15368053229752036470,32,28,0,0
8675309,7,2,2,1188852248874892302,36,18,16,5
8675309,7,-3,2,13966441295275757264,41,25,25,2
8675309,7,2,-3,6853865027923764113,59,24,5,3
8675309,7,-3,-3,324947302676849076,48,20,10,8
325322,7,2,2,3732960876664113612,31,15,0,0
325322,7,-3,2,7667221883686595465,32,22,0,0
325322,7,2,-3,14005232844232467434,31,20,0,0
325322,7,-3,-3,7311322909360822237,30,30,0,0
